freq,unit,icha11_hc,geo\TIME_PERIOD	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOT_HC,LU	2638.25 	2463.12 b	2570.38 	2708.90 	2751.04 	2850.33 	2987.17 	3174.33 	3411.86 	3719.75 	4097.78 	4262.92 p
A,MIO_EUR,TOT_HC,LV	: 	: 	1232.72 	1290.77 	1388.84 	1556.09 	1609.73 	1804.22 	2029.11 	2193.54 	3038.07 	: 
A,MIO_EUR,TOT_HC,MT	: 	: 	: 	795.04 	889.47 	945.12 	1042.18 	1109.70 	1297.84 	1415.73 p	1588.88 p	: 
A,MIO_EUR,TOT_HC,NL	66555.00 	68816.00 	69901.00 	70964.00 	71236.00 	72918.00 	74614.00 	77553.00 	82447.00 	89285.00 	96619.00 	: 
A,MIO_EUR,TOT_HC,NO	31493.31 	34806.36 	35129.57 	35132.03 	35220.23 	35318.92 	36447.73 	37118.10 	38112.60 	36879.92 	41754.35 	: 
A,MIO_EUR,TOT_HC,PL	: 	: 	25166.20 	25681.21 	27280.04 	27756.39 	30663.80 	31501.68 	34400.25 	34182.62 p	37110.84 p	43865.70 p
A,MIO_EUR,TOT_HC,PT	17135.42 	16247.14 	16034.57 	16168.20 	16742.90 	17519.59 	18234.53 	19313.26 	20395.17 	21150.13 	23915.71 	25417.69 p
A,MIO_EUR,TOT_HC,RO	6199.11 	6281.85 	7467.03 	7568.11 	7922.96 	8509.07 	9671.85 	11371.07 	12810.05 	13727.90 	15631.78 	: 
A,MIO_EUR,TOT_HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5339.61 	: 
A,MIO_EUR,TOT_HC,SE	43003.83 	46165.14 	48183.44 	48043.30 	49212.49 	50601.13 	51771.23 	51496.64 	51655.66 	54461.32 	60542.95 	59470.35 p
A,MIO_EUR,TOT_HC,SI	: 	: 	: 	3199.66 	3309.20 	3428.78 	3520.39 	3797.15 	4124.92 	4435.43 	4956.32 	5218.56 p
A,MIO_EUR,TOT_HC,SK	: 	5550.07 	5583.37 	5256.33 	5418.25 	5666.47 	5721.14 	5991.41 	6534.21 	6659.30 	7776.08 	: 
A,MIO_EUR,TOT_HC,UK	: 	: 	209123.58 	229962.02 	261846.11 	240323.80 	231445.23 	239761.83 	256553.19 	: 	: 	: 
A,MIO_NAC,TOT_HC,AT	31093.91 	32499.92 	33316.59 	34540.89 	35692.35 	37020.51 	38354.63 	39871.46 	41650.95 	43383.05 	49127.65 	50813.65 p
A,MIO_NAC,TOT_HC,BA	: 	: 	2526.91 	2591.18 	2673.29 	2766.05 	2804.38 	2973.66 	3193.97 	3369.60 	3740.36 	: 
A,MIO_NAC,TOT_HC,BE	38962.97 	40556.25 	41553.39 	42755.00 	44993.13 	46421.46 	48058.99 	49968.34 	51672.02 	51489.23 	55492.94 	: 
A,MIO_NAC,TOT_HC,BG	5762.54 	6230.78 	5874.27 	6465.12 	6622.58 	7112.83 	7697.37 	8058.92 	8535.11 	10220.60 	11893.52 	: 
A,MIO_NAC,TOT_HC,CH	63868.13 	65294.39 	67943.62 	69410.74 	72003.60 	74495.76 	75610.59 	76431.52 	79312.84 	81498.19 	86343.98 b	: 
A,MIO_NAC,TOT_HC,CY	1277.15 	1274.30 	1249.79 	1211.80 	1219.10 	1264.90 	1345.07 	1479.54 	1637.70 	1840.84 	2264.62 	: 
A,MIO_NAC,TOT_HC,CZ	307031.28 	311758.40 	311594.22 	330820.96 	340843.15 	357153.25 	377209.41 	404209.88 	440348.47 	526021.49 	579643.15 	: 
A,MIO_NAC,TOT_HC,DE	290324.00 	297961.00 	309222.00 	322775.00 	338644.00 	352404.00 	370371.00 	386371.00 	406910.00 	432236.00 	465855.00 	489364.00 p
A,MIO_NAC,TOT_HC,DK	192202.64 	199391.57 	199319.40 	204241.93 	210643.06 	216084.49 	221450.67 	227531.79 	234618.19 	245412.84 	271052.89 	265706.44 p
A,MIO_NAC,TOT_HC,EE	1013.67 	1092.03 	1187.71 	1275.47 	1370.20 	1457.63 	1572.37 	1735.20 	1892.72 	2081.59 	2355.40 	2543.20 p
A,MIO_NAC,TOT_HC,EL	18690.74 	16811.38 	15178.58 	13986.42 	14497.60 	14742.57 	14391.37 	14580.52 	15031.34 	15719.58 	16664.99 	: 
A,MIO_NAC,TOT_HC,ES	97525.47 	94388.85 	92513.93 	93811.25 	98344.36 	99710.20 	103983.94 	108309.62 	113910.69 	120135.31 	129615.26 	: 
A,MIO_NAC,TOT_HC,FI	18261.42 	19271.00 	20034.38 	20236.91 	20388.59 b	20398.75 	20653.82 	21111.01 	21998.37 	22929.00 	25434.91 p	: 
A,MIO_NAC,TOT_HC,FR	230228.08 	235980.55 	241275.50 b	248069.39 	251680.32 	256268.03 	260844.82 	264879.05 	270305.93 	280282.08 	307803.90 	: 
A,MIO_NAC,TOT_HC,HR	: 	: 	2871.94 	2946.34 	3059.61 	3183.21 	3296.48 	3505.64 	3726.49 	3899.17 	4715.97 	: 
A,MIO_NAC,TOT_HC,HU	2135030.60 	2148834.14 	2195781.54 	2311636.44 	2396523.40 	2530040.38 	2648638.99 	2854791.53 	2994736.51 	3532803.82 	4075498.36 	4489000.00 p
A,MIO_NAC,TOT_HC,IE	18211.09 	18611.51 	18443.41 	18559.32 	19291.85 	20180.53 	21216.34 	22460.46 	23931.35 	26505.49 	28631.87 	30509.88 p
A,MIO_NAC,TOT_HC,IS	144782.47 	150956.00 	161070.29 	171684.22 	186480.56 	203404.77 	218260.74 	238285.92 	259439.12 	280636.19 	315860.24 	: 
A,MIO_NAC,TOT_HC,IT	: 	142676.00 	141526.00 	144317.00 	146613.00 	147963.00 	150697.00 	153790.00 	155524.00 b	159880.00 	167761.00 	171867.00 p
A,MIO_NAC,TOT_HC,LI	: 	: 	340.62 	343.76 	346.96 	359.68 	362.09 	363.02 	370.02 	370.28 	392.59 	: 
A,MIO_NAC,TOT_HC,LT	2031.79 	2096.85 	2146.52 	2265.58 	2423.88 	2581.36 	2732.83 	2972.32 	3419.53 	3727.72 	4392.71 	: 
A,MIO_NAC,TOT_HC,LU	2638.25 	2463.12 b	2570.38 	2708.90 	2751.04 	2850.33 	2987.17 	3174.33 	3411.86 	3719.75 	4097.78 	4262.92 p
A,MIO_NAC,TOT_HC,LV	: 	: 	1230.43 	1290.77 	1388.84 	1556.09 	1609.73 	1804.22 	2029.11 	2193.54 	3038.07 	: 
A,MIO_NAC,TOT_HC,MT	: 	: 	: 	795.04 	889.47 	945.12 	1042.18 	1109.70 	1297.84 	1415.73 p	1588.88 p	: 
A,MIO_NAC,TOT_HC,NL	66555.00 	68816.00 	69901.00 	70964.00 	71236.00 	72918.00 	74614.00 	77553.00 	82447.00 	89285.00 	96619.00 	: 
A,MIO_NAC,TOT_HC,NO	245440.00 	260181.00 	274246.00 	293507.00 	315207.00 	328134.00 	339948.00 	356241.00 	375451.00 	395456.00 	424362.00 	: 
A,MIO_NAC,TOT_HC,PL	: 	: 	105635.11 	107457.87 	114142.43 	121106.67 	130535.81 	134244.40 	147838.53 	151873.40 p	169418.41 p	205559.06 p
